content_id,theme,theme_description,curiosity_security,logic_emotion,independence_belonging,observation_action,present_future,spontaneity_control,pragmatism_idealism,stability_transformation,nature_technology,creator_builder,emotional_intensity,privacy_level,vulnerability_level,contradiction_probe,shadow_probe,mask_core_probe,relationship_relevance,option_A_strength,option_B_strength,option_C_strength,option_D_strength
semantic_v3_q0001,risk_discovery,Curiosity vs security under uncertainty,0.7952,0.1086,-0.0713,0.1239,0.3655,-0.3853,0.242,0.5459,-0.0549,-0.0501,0.213,0.14,0.19,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0002,emotional_exposure,Emotional openness and disclosure,-0.0422,1.0473,0.4141,-0.1341,-0.1285,0.1654,0.5052,0.0769,-0.1453,-0.1896,0.839,0.48,0.724,0,1,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0003,belonging_autonomy,"Belonging, independence, social alignment",0.024,0.24,0.7814,0.1028,-0.0868,0.2338,0.4101,-0.1444,0.1073,0.0192,0.27,0.349,0.295,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0004,act_or_observe,Action versus observation,0.1398,0.2295,-0.1312,0.6981,0.0621,-0.0474,0.0923,0.0709,0.0153,0.3764,0.336,0.05,0.244,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0005,future_orientation,Future planning and long-range identity,0.0966,0.0184,0.0031,0.1581,1.0972,0.4929,0.2674,0.3379,0.2573,0.1969,0.329,0.216,0.293,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0006,control_spontaneity,"Control, planning, certainty",-0.1407,0.0564,0.0968,0.0425,0.1217,0.7257,-0.0209,-0.1574,0.0226,0.1682,0.191,0.152,0.179,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0007,values_idealism,Pragmatism versus ideals,0.073,0.1937,-0.0396,0.029,0.0466,0.0115,0.7284,0.154,-0.3273,-0.077,0.356,0.385,0.365,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0008,change_stability,Transformation versus stability,0.3222,0.1155,-0.092,0.0616,0.3234,-0.3434,0.2825,0.8853,0.0288,0.0498,0.326,0.133,0.264,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0009,nature_technology,"Nature, technology and attention direction",0.0724,-0.069,-0.0085,0.0328,0.097,0.0451,-0.1589,-0.0615,0.8658,0.1807,0.244,0.474,0.318,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0010,creator_builder,Ideas versus execution,0.3738,-0.0759,-0.1339,0.2808,0.2683,0.373,0.019,-0.0353,0.1471,0.9497,0.199,0.067,0.157,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0011,taboo_private,Private self-disclosure,0.0942,0.7012,0.2168,-0.0686,0.0766,0.3212,0.5736,0.1006,-0.0058,0.0837,0.475,0.593,0.513,0,1,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0012,contradiction_probe,Conflict between declared and behavioral identity,0.1031,0.2768,-0.1426,0.177,0.19,0.2068,0.0537,0.2728,0.0631,0.0552,0.29,0.33,0.303,1,0,1,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0013,relationship_boundaries,"Trust, intimacy and personal boundaries",-0.0759,0.7318,0.7422,0.0498,0.266,0.3382,0.4261,-0.1372,-0.2207,0.0803,0.787,0.779,0.784,0,0,1,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0014,solitude_social_energy,"Solitude, belonging and social recovery",-0.0398,0.1979,0.8863,-0.1904,0.0266,0.3704,0.093,-0.1832,-0.0754,-0.0898,0.255,0.152,0.222,0,0,0,1,1.0,0.36,-0.36,-1.0
semantic_v3_q0015,execution_pressure,"Pressure, performance and follow-through",0.0955,-0.3633,-0.1482,0.6248,0.3336,0.3924,-0.1722,-0.1847,0.3312,0.5849,0.31,0.305,0.308,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0016,moral_choice,Ethical tension and ideal/practical tradeoff,-0.022,0.357,0.0727,-0.0439,0.1763,-0.0589,0.7349,0.2192,-0.0249,0.1041,0.336,0.121,0.267,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0017,attention_style,"Attention, novelty and depth",0.5835,-0.0291,-0.0052,-0.4403,0.2763,-0.1153,0.2278,0.4694,0.1584,-0.3018,0.122,0.05,0.099,0,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0018,comfort_zone,"Stability, safety and familiar patterns",-0.6494,0.0346,0.0613,-0.2002,-0.0878,0.42,-0.1758,-0.5601,-0.0933,0.2404,0.372,0.213,0.321,0,1,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0019,digital_nature_tension,Digital life versus natural grounding,0.1266,-0.0681,0.007,-0.1164,0.3041,0.1987,0.1147,0.2387,0.7253,0.1965,0.42,0.216,0.355,1,0,0,0,1.0,0.36,-0.36,-1.0
semantic_v3_q0020,identity_mask,"Self-presentation, masking and private core",0.0801,0.3962,0.2487,-0.0702,0.2139,0.2248,0.4028,0.2085,-0.0164,-0.2118,0.617,0.672,0.635,1,1,1,0,1.0,0.36,-0.36,-1.0
