id;version;content_type;rarity_tier;rarity_score;category;darkness_level;intimacy_level;psychological_intensity;prompt_pl;answer_type;answer_options_pl;axis_target;axis_delta_json;hidden_signal;reward_after_answer_pl;verification_type;moderation_level;paywall_weight;notes;reward_type;reward_intensity;community_reveal_type;profile_reveal_type;unlock_type;next_hook_pl;community_stat_seed_json;reward_sequence_json;sample_reward_screen_pl;prompt_en;answer_options_en;next_hook_en;reward_en;profile_fragment_en;archetype_hint_en;card_path;theme_category;canon_version;safety_label;statistic_source_label;allowed_actions;reveal_template_id;sensitivity_level;controversy_level;content_contract_status
TO99-P001;premium;secret;rare;45;shadow;3;4;7;Którą część swojej osobowości pokazujesz tylko wtedy, gdy czujesz się bezpiecznie?;open;Kontrolę | Wrażliwość | Ambicję | Wątpliwości;emotion;"{""emotion"": 4, ""connection"": 2}";shadow_layer;Warstwa cienia aktywna.;none;low;0.6;premium shadow;profile_fragment;medium;none;hidden;answer_count;Następne pytanie zbliży się do kolejnej warstwy.;"{""primary_percent"": 38, ""secondary_percent"": 29}";;;Which part of your personality do you only show when you feel safe?;Control | Vulnerability | Ambition | Doubt;The next question moves toward another layer.;A hidden layer just opened.;You show a controlled face to the world, but there is more.;The Mirror;Shadow Question;identity;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_rare;6;4;migrated_needs_editorial_review
TO99-P002;premium;question;rare;52;control;2;3;6;Czy wolałbyś być niezrozumiany czy zależny?;binary;Niezrozumiany | Zależny;independence;"{""independence"": 5, ""connection"": -2}";autonomy_signal;Sygnał autonomii zarejestrowany.;none;low;0.7;premium control gate;profile_fragment;medium;none;hidden;answer_count;System zapisał Twoją odpowiedź.;"{""primary_percent"": 54, ""secondary_percent"": 46}";;;Would you rather be misunderstood or dependent?;Misunderstood | Dependent;The system recorded your preference.;Independence signal registered.;You protect autonomy even at the cost of being seen.;The Rebel;Control Gate;autonomy;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_rare;5;3;migrated_needs_editorial_review
TO99-P003;premium;question;epic;72;memory;3;5;8;Jakie jest ostatnie wspomnienie, które wciąż zmienia sposób, w jaki podejmujesz decyzje?;open;Utrata | Sukces | Zdrada | Odkrycie;emotion;"{""emotion"": 5, ""security"": 3}";deep_memory;Głęboka warstwa pamięci otwarta.;none;medium;0.8;premium memory trace;profile_fragment;high;none;hidden;answer_count;Ślad pamięci zarejestrowany.;"{""primary_percent"": 31, ""secondary_percent"": 24}";;;What is the last memory that still changes how you make decisions?;Loss | Success | Betrayal | Discovery;A memory trace was registered.;This memory is shaping your current pattern.;Your decisions carry the weight of a specific past event.;The Observer;Memory Trace;depth;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_epic;7;4;migrated_needs_editorial_review
TO99-P004;premium;question;epic;78;future;2;4;7;Którą wersję siebie najczęściej unikasz wyobrażać sobie?;open;Kogoś słabszego | Kogoś samotnego | Kogoś, który się poddał | Kogoś, kto poszedł na kompromis;security;"{""security"": -3, ""change"": 4}";future_avoidance;Wzorzec unikania przyszłości zarejestrowany.;none;medium;0.8;premium future self;profile_fragment;high;none;hidden;answer_count;Widzenie przyszłości wymaga najpierw nazwania strachu.;"{""primary_percent"": 27, ""secondary_percent"": 22}";;;Which version of yourself do you most avoid imagining?;Someone weaker | Someone alone | Someone who gave up | Someone who compromised;Naming the avoided future is the first step.;A future-avoidance pattern was registered.;You protect yourself by not looking at certain possible futures.;The Seeker;Future Self;depth;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_epic;6;3;migrated_needs_editorial_review
TO99-P005;premium;question;legendary;94;threshold;4;5;9;Czy istnieje prawda, którą nosisz w sobie prywatnie, a która — gdyby została wypowiedziana — zmieniłaby to, jak ktoś Cię widzi?;binary;Tak | Nie;emotion;"{""emotion"": 6, ""independence"": 3}";private_truth;Prywatna prawda zarejestrowana.;none;high;0.9;premium threshold;profile_fragment;very_high;none;hidden;answer_count;Nienazwane prawdy kształtują profil mocniej niż wypowiedziane.;"{""primary_percent"": 62, ""secondary_percent"": 38}";;;Is there a truth you hold privately that, if spoken, would change how someone sees you?;Yes | No;Unnamed truths shape the profile more than spoken ones.;A private truth signal was registered.;You carry something that remains unsaid for a reason.;The Rebel;Threshold Card;identity;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_legendary;7;5;migrated_needs_editorial_review
TO99-P006;premium;game;standard;22;object;2;3;5;Wybierz przedmiot, który prowadziłby Cię przez nieznane terytorium.;choice;Kompas | Latarnia | Mapa;curiosity;"{""curiosity"": 3, ""security"": 1}";navigation_style;Styl nawigacji zidentyfikowany.;none;low;0.4;premium object choice;community_reveal;low;none;hidden;answer_count;Wybór narzędzia ujawnia Twój stosunek do niepewności.;"{""primary_percent"": 44, ""secondary_percent"": 31}";;;Choose the object that would guide you through an unknown territory.;Compass | Lantern | Map;The tool you choose reveals your relationship with uncertainty.;Navigation style identified.;Your choice of tool reflects how you handle the unknown.;The Explorer;Object Choice;exploration;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_standard;4;3;migrated_needs_editorial_review
TO99-P007;premium;riddle;rare;48;pattern;3;4;7;Co rośnie cięższym im dłużej pozostaje nienazwane?;choice;Żal | Cisza | Oczekiwanie;emotion;"{""emotion"": 4, ""security"": -2}";unspoken_weight;Nienazwany ciężar zarejestrowany.;none;low;0.6;premium pattern break;profile_fragment;medium;none;hidden;answer_count;Nazwanie tego jest aktem.;"{""primary_percent"": 35, ""secondary_percent"": 28}";;;What grows heavier the longer it stays unnamed?;Regret | Silence | Expectation;Naming it is itself an act.;An unspoken weight pattern was registered.;You recognized what accumulates when left in silence.;The Mirror;Pattern Break;depth;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_rare;6;4;migrated_needs_editorial_review
TO99-P008;premium;secret;epic;75;shadow;4;5;8;Czego chcesz, ale nie możesz sobie przyznać, że chcesz?;open;Uznania | Zemsty | Spokoju | Wpływu;independence;"{""independence"": 4, ""emotion"": 3}";hidden_desire;Ukryte pragnienie zarejestrowane.;none;medium;0.8;premium shadow;profile_fragment;high;none;hidden;answer_count;To, czego nie można wypowiedzieć głośno, ma największą siłę.;"{""primary_percent"": 29, ""secondary_percent"": 23}";;;What do you want but cannot admit to wanting?;Recognition | Revenge | Peace | Influence;What cannot be said aloud holds the most power.;A hidden desire pattern was registered.;Your unexpressed wants are shaping your choices.;The Alchemist;Shadow Question;shadow;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_epic;7;5;migrated_needs_editorial_review
TO99-P009;premium;question;rare;55;control;2;3;6;Kiedy ostatnio zrobiłeś coś, co cię zaskoczyło?;open;Tydzień temu | Miesiąc temu | Rok temu | Nie pamiętam;change;"{""change"": 4, ""security"": -2}";self_surprise;Wzorzec zaskoczenia siebie zarejestrowany.;none;low;0.6;premium control gate;profile_fragment;medium;none;hidden;answer_count;Zdolność do zaskoczenia siebie mierzy elastyczność wzorca.;"{""primary_percent"": 41, ""secondary_percent"": 33}";;;When was the last time you did something that surprised yourself?;Last week | Last month | A year ago | I don't remember;The ability to surprise yourself measures pattern flexibility.;Self-surprise pattern registered.;Your capacity for self-surprise reveals how fixed your pattern is.;The Catalyst;Control Gate;flexibility;TO99_ARCHETYPE_CANON_1.0;sensitive;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_rare;5;3;migrated_needs_editorial_review
TO99-P010;premium;question;standard;28;social;1;2;4;Kiedy czujesz się bardziej sobą — sam czy z innymi?;binary;Sam | Z innymi;independence;"{""independence"": 3, ""connection"": -1}";social_self;Preferencja środowiska społecznego zarejestrowana.;none;low;0.3;premium social mirror;community_reveal;low;none;hidden;answer_count;Środowisko aktywujące autentyczność jest kluczowym sygnałem.;"{""primary_percent"": 57, ""secondary_percent"": 43}";;;When do you feel more like yourself — alone or with others?;Alone | With others;The environment that activates authenticity is a key signal.;Social self preference registered.;Your authentic self has a preferred environment.;The Explorer;Social Mirror;identity;TO99_ARCHETYPE_CANON_1.0;mild;estimated;answer,confirm_answer,skip_question,swap_question,exit_to_menu;reveal_standard;3;2;migrated_needs_editorial_review
