answer_id,question_id,answer_index,answer_pl,answer_en,answer_style,axis_primary_delta,axis_secondary_delta,hidden_parameter_delta,rarity_weight,comparison_insight_pl,comparison_insight_en,top_archetype,archetype_sum_check,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12
TO99Q0001_A1,TO99Q0001,1,Szukam odpowiedzi przez relację z przyjaciel.,I look for the answer through my relationship with a friend.,relational,1,0,2,1.59,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A12,100,2,5,7,11,3,5,16,5,4,3,14,25
TO99Q0001_A2,TO99Q0001,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.62,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A09,100,16,12,3,6,8,4,4,7,29,2,4,5
TO99Q0001_A3,TO99Q0001,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.65,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,1,5,3,14,5,28,2,10,2,11,14,5
TO99Q0001_A4,TO99Q0001,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.68,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A03,100,10,3,22,6,2,14,6,1,3,6,12,15
TO99Q0002_A1,TO99Q0002,1,Szukam odpowiedzi przez relację z lider.,I look for the answer through my relationship with a leader.,relational,1,0,2,1.57,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A07,100,3,16,15,8,4,2,23,5,4,5,4,11
TO99Q0002_A2,TO99Q0002,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.6,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A05,100,11,8,4,5,28,2,5,4,15,12,4,2
TO99Q0002_A3,TO99Q0002,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.62,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A11,100,6,5,9,3,3,12,5,10,2,8,34,3
TO99Q0002_A4,TO99Q0002,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.66,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A11,100,11,2,13,2,3,2,2,15,5,5,28,12
TO99Q0003_A1,TO99Q0003,1,"Szukam odpowiedzi przez relację z ktoś, kto zna Twoją przeszłość.",I look for the answer through my relationship with someone who knows your past.,relational,1,0,2,1.05,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A03,100,4,3,30,13,5,1,14,4,4,4,8,10
TO99Q0003_A2,TO99Q0003,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.08,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A05,100,11,15,3,3,33,2,2,7,12,5,2,5
TO99Q0003_A3,TO99Q0003,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.1,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A11,100,16,1,5,6,2,12,2,16,6,8,21,5
TO99Q0003_A4,TO99Q0003,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.14,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A12,100,17,2,15,3,6,3,2,3,1,16,8,24
TO99Q0004_A1,TO99Q0004,1,Szukam odpowiedzi przez relację z współpracownik.,I look for the answer through my relationship with a coworker.,relational,1,0,2,1.36,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A03,100,2,4,28,14,3,14,9,5,5,3,3,10
TO99Q0004_A2,TO99Q0004,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.4,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A02,100,16,27,6,7,8,3,5,2,10,6,5,5
TO99Q0004_A3,TO99Q0004,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.42,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A11,100,5,4,4,3,14,10,3,7,2,14,31,3
TO99Q0004_A4,TO99Q0004,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.45,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A12,100,10,5,13,4,5,3,5,11,1,2,12,29
TO99Q0005_A1,TO99Q0005,1,Szukam odpowiedzi przez relację z mentor.,I look for the answer through my relationship with a mentor.,relational,1,0,2,1.45,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A04,100,3,4,11,29,5,4,15,3,3,5,10,8
TO99Q0005_A2,TO99Q0005,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.48,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A05,100,12,9,3,4,28,3,18,5,8,2,5,3
TO99Q0005_A3,TO99Q0005,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.5,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A10,100,3,2,4,4,6,13,10,10,2,28,12,6
TO99Q0005_A4,TO99Q0005,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.53,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A01,100,30,11,7,6,5,6,5,5,2,2,10,11
TO99Q0006_A1,TO99Q0006,1,Szukam odpowiedzi przez relację z najcichsza osoba w pokoju.,I look for the answer through my relationship with the quietest person in the room.,relational,1,0,2,1.1,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A03,100,4,7,24,15,2,9,9,6,4,6,3,11
TO99Q0006_A2,TO99Q0006,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.14,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A01,100,22,9,5,6,13,4,2,6,14,14,4,1
TO99Q0006_A3,TO99Q0006,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.16,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,2,3,3,3,16,28,3,8,4,14,10,6
TO99Q0006_A4,TO99Q0006,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.19,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A03,100,14,2,30,2,2,4,4,11,2,2,14,13
TO99Q0007_A1,TO99Q0007,1,Szukam odpowiedzi przez relację z przyjaciel.,I look for the answer through my relationship with a friend.,relational,1,0,2,1.31,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A12,100,5,5,14,10,4,6,7,10,2,5,3,29
TO99Q0007_A2,TO99Q0007,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.34,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A01,100,31,11,3,2,16,14,2,5,8,4,2,2
TO99Q0007_A3,TO99Q0007,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.36,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,5,2,2,4,13,25,6,15,4,13,8,3
TO99Q0007_A4,TO99Q0007,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.4,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A01,100,24,7,11,2,3,2,13,6,2,3,12,15
TO99Q0008_A1,TO99Q0008,1,"Szukam odpowiedzi przez relację z osoba, której nie umiesz odmówić.",I look for the answer through my relationship with someone you struggle to refuse.,relational,1,0,2,1.11,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A07,100,3,11,11,15,5,3,26,3,3,1,6,13
TO99Q0008_A2,TO99Q0008,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.15,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A05,100,16,9,6,5,26,4,8,3,15,3,3,2
TO99Q0008_A3,TO99Q0008,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.17,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,3,4,4,8,4,26,2,14,5,14,14,2
TO99Q0008_A4,TO99Q0008,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.2,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A03,100,14,6,29,5,4,4,3,3,4,9,10,9
TO99Q0009_A1,TO99Q0009,1,Szukam odpowiedzi przez relację z członek rodziny.,I look for the answer through my relationship with a family member.,relational,1,0,2,1.55,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A03,100,6,17,23,8,2,2,12,4,2,6,5,13
TO99Q0009_A2,TO99Q0009,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.58,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A05,100,11,14,2,4,23,4,4,4,9,4,15,6
TO99Q0009_A3,TO99Q0009,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.6,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A11,100,6,5,5,4,2,9,9,14,4,15,22,5
TO99Q0009_A4,TO99Q0009,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.64,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A11,100,13,4,12,4,11,4,3,3,6,3,25,12
TO99Q0010_A1,TO99Q0010,1,Szukam odpowiedzi przez relację z dawny partner.,I look for the answer through my relationship with a former partner.,relational,1,0,2,1.18,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A07,100,2,4,10,15,6,5,28,4,2,2,10,12
TO99Q0010_A2,TO99Q0010,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.21,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A02,100,14,29,4,1,14,5,6,7,8,5,5,2
TO99Q0010_A3,TO99Q0010,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.23,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A08,100,2,5,5,9,4,8,5,33,7,10,8,4
TO99Q0010_A4,TO99Q0010,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.26,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A11,100,15,8,8,4,2,5,2,5,6,3,28,14
TO99Q0011_A1,TO99Q0011,1,Szukam odpowiedzi przez relację z dziecko z pytaniem.,I look for the answer through my relationship with a child with a question.,relational,1,0,2,1.02,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec relational bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a relational pattern without exposing the user's archetype.,A04,100,2,9,13,24,2,5,15,2,3,5,5,15
TO99Q0011_A2,TO99Q0011,2,"Rozkładam sytuację na fakty, ryzyko i konsekwencje.","I break the situation into facts, risk and consequences.",analytical,0,-1,0,1.05,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec analytical bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a analytical pattern without exposing the user's archetype.,A05,100,13,15,2,3,30,4,14,3,9,4,2,1
TO99Q0011_A3,TO99Q0011,3,"Wybieram ruch, który otwiera nową możliwość.",I choose the move that opens a new possibility.,bold,1,3,3,1.07,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec bold bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a bold pattern without exposing the user's archetype.,A06,100,6,3,7,9,5,24,2,13,5,16,8,2
TO99Q0011_A4,TO99Q0011,4,"Zatrzymuję się przy obrazie, który we mnie zostaje.",I stay with the image that remains in me.,symbolic,-1,1,0,1.1,Szacowany sygnał: ta odpowiedź wzmacnia wzorzec symbolic bez ujawniania archetypu użytkownikowi.,Estimated signal: this answer strengthens a symbolic pattern without exposing the user's archetype.,A11,100,11,5,9,6,10,2,3,3,5,1,31,14
