semantic_content_id,real_content_id,mapping_status,notes
semantic_v3_q0001,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0002,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0003,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0004,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0005,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0006,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0007,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0008,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0009,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0010,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0011,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0012,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0013,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0014,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0015,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0016,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0017,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0018,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0019,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0020,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
semantic_v3_q0021,,NEEDS_REAL_CONTENT_ID,Map this semantic seed item to an existing app content_id before importing.
