id;version;content_type;rarity_tier;rarity_score;category;darkness_level;intimacy_level;psychological_intensity;prompt_pl;answer_type;answer_options_pl;axis_target;axis_delta_json;hidden_signal;reward_after_answer_pl;verification_type;moderation_level;paywall_weight;notes;reward_type;reward_intensity;community_reveal_type;profile_reveal_type;unlock_type;next_hook_pl;community_stat_seed_json;reward_sequence_json;sample_reward_screen_pl;prompt_en;answer_options_en;next_hook_en;reward_en;profile_fragment_en;archetype_hint_en;card_path;theme_category
TO99-0201;2.0;question;standard;12;identity;2;3;3;Would you rather be deeply understood once, or easily liked by many?;choice;Deeply understood | Easily liked;"Emotion;Belonging";"{""emotion"": 3, ""belonging"": 2}";"{""Emotion"":1,""connection"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;How do you usually present yourself?;"{""primary_percent"":52,""secondary_percent"":48}";;;Would you rather be deeply understood once, or easily liked by many?;Deeply understood | Easily liked;How do you usually present yourself?;Your answer reveals your social instinct.;Prefers depth over breadth in connection.;social_mirror;Social Mirror;identity
TO99-0202;2.0;question;standard;15;identity;2;3;3;Do you change how you speak depending on who you're with?;choice;Yes, significantly | A little | Rarely;"Emotion;Belonging";"{""emotion"": 3, ""belonging"": 2}";"{""Emotion"":1,""security"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;What triggers your code-switching?;"{""primary_percent"":45,""secondary_percent"":30}";;;Do you change how you speak depending on who you're with?;Yes, significantly | A little | Rarely;What triggers your code-switching?;A small adaptation or a different self?;Social performance detected.;social_adaptor;Social Mirror;identity
TO99-0203;2.0;question;standard;18;relationships;2;4;4;Is there a version of a relationship you always seem to repeat?;choice;Yes | No | Maybe;"Emotion;Belonging";"{""emotion"": 4, ""belonging"": 3}";"{""Emotion"":2,""connection"":2}";;self_report;2;1;;profile_movement;3;percentage;visible;standard;What draws you back to the same patterns?;"{""primary_percent"":60,""secondary_percent"":40}";;;Is there a version of a relationship you always seem to repeat?;Yes | No | Maybe;What draws you back to the same patterns?;Some patterns have roots we haven't examined.;Relational pattern detected.;pattern_repeater;Memory Trace;relationships
TO99-0204;2.0;question;standard;22;fear;3;3;4;What is harder for you: starting something or finishing it?;choice;Starting | Finishing | Both equally;"Risk;Hesitation";"{""risk"": 4, ""hesitation"": 3}";"{""risk"":1,""security"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;Where do you usually get stuck?;"{""primary_percent"":38,""secondary_percent"":45}";;;What is harder for you: starting something or finishing it?;Starting | Finishing | Both equally;Where do you usually get stuck?;The friction point reveals the underlying resistance.;Friction pattern identified.;initiator_vs_finisher;Pattern Break;fear
TO99-0205;2.0;question;standard;25;control;3;3;4;When you feel anxious, do you need to move or do you go still?;choice;I need to move | I go still | Depends;"Risk;Control";"{""risk"": 4, ""control"": 3}";"{""risk"":1,""control"":1}";;self_report;2;1;;profile_movement;3;percentage;visible;standard;What does your body do when your mind is unsettled?;"{""primary_percent"":55,""secondary_percent"":32}";;;When you feel anxious, do you need to move or do you go still?;I need to move | I go still | Depends;What does your body do when your mind is unsettled?;Your anxiety response reveals your relationship with control.;Stress response pattern mapped.;stress_responder;Control Gate;control
TO99-0206;2.0;question;standard;20;identity;2;3;3;Do you tend to trust your first impression of people?;choice;Yes, usually | No, I wait | It varies;"Emotion;Guardedness";"{""emotion"": 3, ""guardedness"": 2}";"{""Emotion"":1,""security"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;What has changed your first impression the most?;"{""primary_percent"":48,""secondary_percent"":35}";;;Do you tend to trust your first impression of people?;Yes, usually | No, I wait | It varies;What has changed your first impression the most?;First impressions can be accurate or deeply wrong.;Social intuition pattern noted.;first_impression;Social Mirror;identity
TO99-0207;2.0;question;standard;14;values;2;2;3;What do you protect more: your freedom or your stability?;choice;Freedom | Stability | Depends on the situation;"Independence;Security";"{""independence"": 3, ""security"": 2}";"{""independence"":2,""security"":1}";;self_report;2;1;;profile_movement;3;percentage;visible;standard;What would you sacrifice for the other?;"{""primary_percent"":43,""secondary_percent"":50}";;;What do you protect more: your freedom or your stability?;Freedom | Stability | Depends on the situation;What would you sacrifice for the other?;This tension defines many of your choices.;Core value tension revealed.;freedom_vs_stability;Hidden Contradiction;values
TO99-0208;2.0;question;standard;17;identity;2;3;3;Do you feel more yourself alone or with others?;choice;Alone | With others | Equally;"Emotion;Belonging";"{""emotion"": 3, ""belonging"": 2}";"{""Emotion"":1,""connection"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;Is that how you have always been?;"{""primary_percent"":58,""secondary_percent"":35}";;;Do you feel more yourself alone or with others?;Alone | With others | Equally;Is that how you have always been?;Solitude and presence shape identity differently.;Social energy orientation noted.;solitude_orientation;Shadow Question;identity
TO99-0209;2.0;question;standard;19;decisions;2;3;4;When you make a big decision, do you commit fast or deliberate long?;choice;Commit fast | Deliberate long | It depends;"Risk;Control";"{""risk"": 4, ""control"": 3}";"{""risk"":1,""security"":2}";;self_report;2;1;;profile_movement;3;percentage;visible;standard;When was the last time you regretted which path you took?;"{""primary_percent"":35,""secondary_percent"":55}";;;When you make a big decision, do you commit fast or deliberate long?;Commit fast | Deliberate long | It depends;When was the last time you regretted which path you took?;Decision speed is a window into your relationship with certainty.;Decision style pattern identified.;decision_speed;Control Gate;decisions
TO99-0210;2.0;question;standard;23;identity;2;3;3;Do you tend to underestimate or overestimate how much you affect others?;choice;Underestimate | Overestimate | Neither;"Emotion;Belonging";"{""emotion"": 3, ""belonging"": 2}";"{""Emotion"":2,""connection"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;How do you usually find out the truth?;"{""primary_percent"":62,""secondary_percent"":20}";;;Do you tend to underestimate or overestimate how much you affect others?;Underestimate | Overestimate | Neither;How do you usually find out the truth?;Self-perception versus social reality.;Impact awareness pattern noted.;impact_awareness;Social Mirror;identity
TO99-0211;2.0;question;standard;16;relationships;2;3;3;Is it easier for you to apologize or to accept an apology?;choice;Apologize | Accept | Both equally hard;"Emotion;Belonging";"{""emotion"": 3, ""belonging"": 2}";"{""Emotion"":2,""security"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;What makes the other one hard?;"{""primary_percent"":40,""secondary_percent"":45}";;;Is it easier for you to apologize or to accept an apology?;Apologize | Accept | Both equally hard;What makes the other one hard?;This asymmetry reveals where your ego lives.;Relational ego structure noted.;apology_pattern;Moral Dilemma;relationships
TO99-0212;2.0;question;standard;21;fear;2;3;4;Do you find it easier to forgive others or yourself?;choice;Others | Myself | Both difficult;"Emotion;Security";"{""emotion"": 4, ""security"": 3}";"{""Emotion"":2,""security"":2}";;self_report;2;1;;profile_movement;3;percentage;visible;standard;Where does the harder forgiveness come from?;"{""primary_percent"":55,""secondary_percent"":30}";;;Do you find it easier to forgive others or yourself?;Others | Myself | Both difficult;Where does the harder forgiveness come from?;Self-forgiveness is often the last frontier.;Forgiveness orientation mapped.;self_forgiveness;Shadow Question;fear
TO99-0213;2.0;question;standard;13;identity;2;2;3;Do you more often say yes when you want to say no?;choice;Yes, often | Sometimes | Rarely;"Control;Guardedness";"{""control"": 3, ""guardedness"": 2}";"{""control"":1,""security"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;What keeps you from saying no?;"{""primary_percent"":58,""secondary_percent"":28}";;;Do you more often say yes when you want to say no?;Yes, often | Sometimes | Rarely;What keeps you from saying no?;The yes you didn't mean still costs something.;Boundary pattern noted.;boundary_pattern;Control Gate;identity
TO99-0214;2.0;question;standard;24;values;3;3;4;Would you rather be feared or forgotten?;choice;Feared | Forgotten | Neither;"Emotion;Independence";"{""emotion"": 4, ""independence"": 3}";"{""Emotion"":1,""independence"":2}";;self_report;2;1;;profile_movement;3;percentage;visible;standard;Which feels worse in the moment?;"{""primary_percent"":28,""secondary_percent"":48}";;;Would you rather be feared or forgotten?;Feared | Forgotten | Neither;Which feels worse in the moment?;The answer exposes your deepest need for presence.;Legacy vs invisibility tension.;legacy_vs_invisibility;Moral Dilemma;values
TO99-0215;2.0;question;standard;11;identity;1;2;2;Are you better at remembering feelings or facts?;choice;Feelings | Facts | Equal;"Emotion;Security";"{""emotion"": 2, ""security"": 1}";"{""Emotion"":1,""security"":1}";;self_report;2;1;;profile_movement;2;percentage;visible;standard;What does that tell you about how you process experience?;"{""primary_percent"":52,""secondary_percent"":38}";;;Are you better at remembering feelings or facts?;Feelings | Facts | Equal;What does that tell you about how you process experience?;Memory preference reveals how experience is encoded.;Cognitive encoding style noted.;memory_style;Memory Trace;identity
TO99-0216;2.0;question;rare;45;fear;3;4;5;Is there a fear you've never named out loud — not because it's shameful, but because naming it makes it real?;choice;Yes | No | I'm not sure;"Emotion;Guardedness";"{""emotion"": 5, ""guardedness"": 4}";"{""Emotion"":2,""security"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What would happen if you named it now?;"{""primary_percent"":62,""secondary_percent"":24}";;;Is there a fear you've never named out loud — not because it's shameful, but because naming it makes it real?;Yes | No | I'm not sure;What would happen if you named it now?;Some fears survive only in silence.;Unnamed fear detected.;unnamed_fear;Shadow Question;fear
TO99-0217;2.0;question;rare;48;identity;3;4;5;Do you avoid risk because it is dangerous, or because it could reveal what you really want?;choice;It's dangerous | It reveals what I want | Both;"Risk;Guardedness";"{""risk"": 5, ""guardedness"": 4}";"{""risk"":2,""security"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;Which of those is harder to admit?;"{""primary_percent"":30,""secondary_percent"":55}";;;Do you avoid risk because it is dangerous, or because it could reveal what you really want?;It's dangerous | It reveals what I want | Both;Which of those is harder to admit?;The second reason is rarer and more honest.;Risk avoidance motive identified.;risk_motive;Risk Gate;identity
TO99-0218;2.0;question;rare;52;relationships;3;4;5;Have you ever stayed in something too long because leaving felt like admitting failure?;choice;Yes | No | I'm not sure;"Emotion;Security";"{""emotion"": 5, ""security"": 4}";"{""Emotion"":2,""security"":2}";;self_report;3;2;;profile_movement;4;percentage;visible;rare;What finally changed?;"{""primary_percent"":65,""secondary_percent"":25}";;;Have you ever stayed in something too long because leaving felt like admitting failure?;Yes | No | I'm not sure;What finally changed?;Sunk cost is emotional, not mathematical.;Persistence vs acceptance pattern.;sunk_cost_emotion;Memory Trace;relationships
