question_id,language_pair_id,source_series,tier,mode,category_pl,category_en,question_pl,question_en,answer_type,primary_axis,secondary_axes,archetype_targets,archetype_oppositions,hidden_signal_targets,sensitivity_level,controversy_level,social_desirability_risk,rarity_weight,contradiction_pair_id,safety_label,statistic_source_label,reveal_template_ids,system_actions,hidden_events_policy,production_status,pattern_tags,pattern_signal_id,pattern_axis_direction,pattern_hidden_signal,pattern_confidence_weight,pattern_min_occurrences,reveal_dosing_policy,pattern_engine_status
Q0001,LP0001,v1,free,core,Decyzje,Decisions,"Gdy pojawia się okazja, której nie planowałeś, co robisz najpierw?","When an opportunity appears that you did not plan for, what do you do first?",forced_choice,AX01,"[""AX04""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_01""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0002,LP0002,v1,free,core,Ciekawość,Curiosity,"Kiedy ktoś proponuje Ci coś nowego bez pełnych szczegółów, co bardziej Cię uspokaja?","When someone offers you something new without full details, what calms you more?",forced_choice,AX01,"[""AX06""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_02""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0003,LP0003,v1,free,core,Tożsamość,Identity,"Gdy czujesz, że życie robi się zbyt przewidywalne, czego szukasz?","When life starts feeling too predictable, what do you look for?",forced_choice,AX01,"[""AX08""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_03""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0004,LP0004,v1,free,core,Codzienność,Daily life,"W obcym miejscu najpierw próbujesz je oswoić czy sprawdzić, dokąd prowadzi?","In an unfamiliar place, do you first make it familiar or see where it leads?",forced_choice,AX01,"[""AX09""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_04""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0005,LP0005,v1,free,pressure,Presja,Pressure,"Kiedy nie znasz wyniku, co daje Ci większą siłę?","When you do not know the outcome, what gives you more strength?",forced_choice,AX01,"[""AX05""]","[""A01"", ""A04"", ""A06"", ""A07"", ""A08"", ""A11""]","[""A02"", ""A03"", ""A05"", ""A09""]","[""HP01"", ""HP02""]",1,1,1,1.5,,pressure,estimated,"[""RV_AX01_05""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0006,LP0006,v1,free,core,Wartości,Values,"Gdy masz wybór między znanym komfortem a niepewną możliwością, co częściej wygrywa?","When you choose between known comfort and an uncertain possibility, what wins more often?",forced_choice,AX01,"[""AX08""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,0,1,1.5,,self_reflection,estimated,"[""RV_AX01_06""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0007,LP0007,v1,free,core,Ciekawość,Curiosity,"Kiedy coś Cię pociąga, ale nie daje gwarancji, co zwykle robisz?","When something attracts you but gives no guarantee, what do you usually do?",forced_choice,AX01,"[""AX04""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_07""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0008,LP0008,v1,free,relationship,Społeczne,Social,"Gdy inni mówią: 'nie wiadomo, co z tego będzie', co słyszysz mocniej?","When others say, 'we do not know what will come of this,' what do you hear more strongly?",forced_choice,AX01,"[""AX03""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,1,1,1.5,,relationship,estimated,"[""RV_AX01_08""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0009,LP0009,v1,free,core,Praca,Work,"W nowym projekcie najpierw chcesz znać ryzyka czy zobaczyć, co się otworzy?","In a new project, do you first want to know the risks or see what opens up?",forced_choice,AX01,"[""AX10""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",0,0,0,1.0,,neutral,estimated,"[""RV_AX01_09""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
Q0010,LP0010,v1,free,core,Zmiana,Change,"Kiedy stoisz przed zmianą, co bardziej Cię prowadzi?","When you stand before a change, what guides you more?",forced_choice,AX01,"[""AX08""]","[""A01"", ""A02"", ""A04"", ""A06"", ""A07"", ""A08""]","[""A03"", ""A05"", ""A09"", ""A10""]","[""HP01"", ""HP02""]",1,0,1,1.5,,self_reflection,estimated,"[""RV_AX01_10""]","[""skip_question"", ""swap_question"", ""return_to_menu""]",system_actions_only_not_answer_options,ready_mvp_v1,"[""safety_before_exploration"", ""exploration_before_certainty""]",AX01_pattern_probe,AX01:bidirectional,"[""HP01"", ""HP02""]",1.0,3,TIER_1 short answer reveal; TIER_2 pattern after 3-5 repeats; TIER_3 mini snapshot after 20-30 answers; TIER_4 profile snapshot at 51; TIER_5 premium depth.,pattern_ready_v2
