id;version;content_type;rarity_tier;rarity_score;category;darkness_level;intimacy_level;psychological_intensity;prompt_pl;answer_type;answer_options_pl;axis_target;axis_delta_json;hidden_signal;reward_after_answer_pl;verification_type;moderation_level;paywall_weight;notes;reward_type;reward_intensity;community_reveal_type;profile_reveal_type;unlock_type;next_hook_pl;community_stat_seed_json;reward_sequence_json;sample_reward_screen_pl
TO99-0001;1.3;question;legendary;95;relacje;4;5;5;Czy jest ktoś, komu nigdy nie powiedziałeś prawdy, mimo że do dziś o tym myślisz?;choice_3;Tak | Nie | Ktoś właśnie przyszedł mi do głowy;"Emotion;Belonging;Hesitation";"{""emotion"": 5, ""belonging"": 3, ""guardedness"": 2}";"response_time;hesitation";Tylko część osób odpowiada na to bez pauzy. Sam moment zawahania jest tu ważniejszy niż sama odpowiedź.;none;sensitive;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 7, ""secondary_percent"": 12, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 7% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Emotion, Belonging.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 7% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Emotion, Belonging. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0002;1.3;question;legendary;94;tożsamość;5;5;5;Gdyby nikt nie znał Twojej historii, czy wybrałbyś jeszcze raz tę samą wersję siebie?;choice_3;Tak | Nie | Nie wiem;"Transformation;Idealism;Consistency";"{""transformation"": 4, ""idealism"": 3, ""consistency"": -2}";"response_time;answer_change";To pytanie zwykle rozdziela ludzi na tych, którzy bronią swojej drogi, i tych, którzy czują, że żyją nie do końca swoim życiem.;none;sensitive;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 7, ""secondary_percent"": 12, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 7% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Transformation, Idealism.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 7% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Transformation, Idealism. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0003;1.3;question;legendary;93;moralność;5;4;5;Czy zrobiłbyś coś moralnie wątpliwego, gdybyś miał pewność, że uratuje to kogoś, kogo kochasz?;choice_3;Tak | Nie | Zależy jak bardzo wątpliwego;"Logic;Emotion;Idealism;Pragmatism";"{""emotion"": 4, ""idealism"": -3, ""pragmatism"": 4}";"response_time;answer_change";Ten wybór pokazuje napięcie między zasadą a lojalnością.;none;sensitive;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 7, ""secondary_percent"": 12, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 7% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Logic, Emotion.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 7% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Logic, Emotion. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0004;1.3;question;legendary;92;żal;5;5;5;Czy istnieje decyzja, po której Twoje życie poszło w stronę, której nigdy w pełni nie zaakceptowałeś?;yes_no;Tak | Nie;"Transformation;Future;Guardedness";"{""transformation"": 5, ""future"": 3, ""guardedness"": 2}";response_time;Jeżeli odpowiedź pojawiła się szybko, temat może być już nazwany. Jeżeli długo czekałeś, może dopiero się odsłania.;none;sensitive;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 7, ""secondary_percent"": 12, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 7% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Transformation, Future.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 7% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Transformation, Future. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0005;1.3;question;legendary;91;samotność;4;5;5;Czy czujesz się czasem samotny nawet wtedy, gdy ludzie są obok?;choice_3;Często | Czasami | Nie;"Emotion;Belonging;Openness";"{""emotion"": 5, ""belonging"": 4, ""openness"": 2}";response_time;To jedno z pytań, przy których podobieństwo do innych ludzi bywa bardziej kojące niż wynik archetypu.;none;safe;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 7, ""secondary_percent"": 12, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 7% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Emotion, Belonging.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 7% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Emotion, Belonging. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0006;1.3;question;legendary;90;rodzina;5;5;5;Czy kochasz wszystkich bliskich tak, jak 'powinno się' ich kochać?;choice_3;Tak | Nie | Nie wiem, co powinienem czuć;"Emotion;Belonging;Guardedness";"{""emotion"": 4, ""belonging"": 3, ""guardedness"": 3}";"hesitation;skip";To pytanie jest trudne, bo dotyka różnicy między uczuciem a obowiązkiem.;none;restricted;5;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 7, ""secondary_percent"": 12, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 7% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Emotion, Belonging.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 7% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Emotion, Belonging. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0007;1.3;question;legendary;89;lęk;4;5;5;Czy boisz się bardziej porażki, czy tego, że uda Ci się coś zmienić i nie będziesz miał wymówki?;choice_ab;Porażki | Braku wymówki;"Security;Transformation;Control";"{""security"": 3, ""transformation"": 5, ""control"": 2}";response_time;Ten wybór bada, czy większym ciężarem jest ryzyko, czy odpowiedzialność za zmianę.;none;sensitive;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 8, ""secondary_percent"": 18, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 8% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Security, Transformation.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 8% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Security, Transformation. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0008;1.3;question;legendary;88;intymność;4;5;5;Czy ktoś zna Cię naprawdę, czy tylko zna wersję, którą pokazujesz najczęściej?;choice_3;Zna mnie naprawdę | Zna głównie wersję | Nie wiem;"Openness;Belonging;Emotion";"{""openness"": 4, ""belonging"": 3, ""emotion"": 3}";response_time;Wysoka rzadkość nie wynika z odpowiedzi, tylko z tego, jak często ludzie czują rozdźwięk między sobą a swoją rolą.;none;safe;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 8, ""secondary_percent"": 18, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 8% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Openness, Belonging.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 8% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Openness, Belonging. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0009;1.3;question;legendary;87;moralność;5;4;5;Czy gdyby nikt nigdy się nie dowiedział, Twoje zasady pozostałyby takie same?;choice_3;Tak | Nie | Nie jestem pewien;"Idealism;Pragmatism;Consistency";"{""idealism"": 5, ""pragmatism"": -2, ""consistency"": 3}";"response_time;answer_change";To pytanie rozdziela moralność deklarowaną od moralności samotnej.;none;sensitive;4;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 8, ""secondary_percent"": 18, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 8% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Idealism, Pragmatism.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 8% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Idealism, Pragmatism. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
TO99-0010;1.3;question;legendary;86;tożsamość;4;5;5;Czy bardziej boisz się śmierci, czy zmarnowania życia przed śmiercią?;choice_ab;Śmierci | Zmarnowania życia;"Future;Transformation;Security";"{""future"": 5, ""transformation"": 4, ""security"": 2}";response_time;Odpowiedź często pokazuje, czy profil porusza się bardziej przez lęk, czy przez pragnienie znaczenia.;none;sensitive;5;;shadow_fragment;5;rare_minor_group;hidden_shadow_archetype;shadow_fragment;Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.;"{""mvp_mode"": ""simulated_until_real_data"", ""primary_percent"": 7, ""secondary_percent"": 12, ""stat_rule"": ""rare_minor_group""}";"{""blocks"": [{""type"": ""community_reveal"", ""text"": ""Tylko 7% użytkowników wybrało podobnie.""}, {""type"": ""profile_movement"", ""text"": ""Ten wybór mocno poruszył obszary: Future, Transformation.""}, {""type"": ""hidden_teaser"", ""text"": ""To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty.""}, {""type"": ""unlock"", ""text"": ""Odkryto: Fragment Cienia +1.""}, {""type"": ""next_hook"", ""text"": ""Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.""}], ""intensity"": 5, ""reward_type"": ""shadow_fragment""}";Tylko 7% użytkowników wybrało podobnie. Ten wybór mocno poruszył obszary: Future, Transformation. To jedna z odpowiedzi, które wpływają nie tylko na profil jawny, ale też na profil ukryty. Odkryto: Fragment Cienia +1. Jeszcze 2 mocne odpowiedzi i odblokujesz pierwszy fragment Cienia profilu.
